file,total_imports,local_imports,third_party_imports,stdlib_imports,unique_modules
analysis/gbm_diagnostics.py,22,1,10,11,16
analyze_backtest_pickle.py,8,0,3,5,8
analyze_feature_variance.py,7,2,2,3,7
app.py,17,6,7,4,13
audit_tools/audit_core/__init__.py,0,0,0,0,0
audit_tools/audit_core/categorizer.py,3,0,1,2,3
audit_tools/audit_core/dependency_graph.py,5,0,3,2,5
audit_tools/audit_core/file_discovery.py,5,0,1,4,5
audit_tools/audit_core/import_analyzer.py,5,0,1,4,5
audit_tools/audit_core/model_analyzer.py,6,0,1,5,5
audit_tools/audit_core/report_generator.py,5,0,2,3,5
audit_tools/audit_tests/__init__.py,0,0,0,0,0
audit_tools/run_audit.py,13,0,6,7,13
autonomous_loop.py,9,0,0,9,9
check_gbm_health.py,5,1,0,4,5
data/augmentation.py,7,0,1,6,4
data/cache_manager.py,22,7,2,13,15
data/data_fetcher.py,8,0,2,6,5
data/feature_engineer.py,23,7,7,9,17
data/news_fetcher.py,17,0,4,13,13
data/regime_tests.py,3,1,2,0,3
data/sentiment_analyzer.py,12,0,4,8,8
data/sentiment_features.py,17,4,3,10,11
data/support_resistance_features.py,3,0,2,1,3
data/target_balancing.py,9,0,1,8,4
data/target_engineering.py,10,0,7,3,8
data/tft_dataset_builder.py,15,2,7,6,8
data/volatility_features.py,4,0,3,1,4
data/vpi_tests.py,3,1,2,0,3
debug_gpu.py,6,0,2,4,6
diagnose_regressor.py,7,0,4,3,6
evaluation/advanced_backtester.py,10,0,3,7,7
evaluation/backtest_dashboard.py,11,0,5,6,8
evaluation/backtest_visualization.py,14,4,4,6,13
evaluation/model_diagnostics.py,8,0,2,6,4
evaluation/position_heatmap.py,13,0,7,6,9
evaluation/quantile_evaluation.py,3,0,3,0,3
inference/__init__.py,0,0,0,0,0
inference/confidence_scorer.py,5,0,3,2,5
inference/horizon_weighting.py,2,0,1,1,2
inference/hybrid_predictor.py,29,16,4,9,16
inference/load_gbm_models.py,13,0,2,11,9
inference/model_validator.py,16,0,1,15,10
inference/predict_ensemble.py,11,3,1,7,10
inference/predict_multiday.py,12,4,5,3,10
inference/predict_tft.py,54,9,26,19,20
inference/quantile_ensemble_inference.py,6,2,2,2,5
inference/rl_position_sizer.py,20,0,9,11,13
inference/stacking_inference.py,14,0,1,13,9
inference_and_backtest.py,108,38,27,43,41
model_validation_suite.py,51,6,31,14,25
models/__init__.py,0,0,0,0,0
models/lstm_transformer_paper.py,11,0,9,2,6
models/patchtst.py,11,0,9,2,6
models/quantile_regressor.py,14,0,6,8,9
orchestrate_training.py,8,0,0,8,8
run_complete_pipeline.py,22,3,3,16,17
scripts/auto_experiment_runner.py,26,6,4,16,19
scripts/backtest_gbm_only.py,17,6,5,6,14
scripts/batch_train_models.py,7,0,0,7,7
scripts/check_numpy.py,3,0,1,2,3
scripts/diag_imports.py,3,0,0,3,3
scripts/diag_symbol.py,17,5,2,10,14
scripts/diagnose_position_sizing.py,7,0,2,5,7
scripts/evaluate.py,0,0,0,0,0
scripts/generate_final_report.py,6,0,0,6,6
scripts/optimize_hyperparams.py,39,8,14,17,25
scripts/refresh_cache_for_147.py,5,2,0,3,5
scripts/run_comprehensive_backtests.py,7,0,0,7,7
scripts/run_feature_selection.py,26,6,3,17,18
scripts/statistical_comparison.py,16,0,5,11,12
scripts/test_cache_system.py,7,2,1,4,7
scripts/test_fetch_vix.py,4,1,0,3,4
scripts/test_v31_migration.py,18,7,6,5,15
scripts/tft_checkpoint_inspect.py,18,2,10,6,13
scripts/validate_feature_consistency.py,9,3,0,6,8
scripts/validate_pipeline.py,33,8,9,16,21
service/model_registry.py,10,0,0,10,7
service/prediction_service.py,0,0,0,0,0
test_bear_market_msft.py,8,0,3,5,8
test_compute_hybrid.py,0,0,0,0,0
test_diverse_universe.py,7,0,0,7,7
test_feature_count.py,6,2,0,4,4
test_phase4_features.py,9,3,2,4,8
tests/test_augmentation.py,10,6,2,2,5
tests/test_data_integrity.py,9,0,6,3,8
tests/test_feature_selection.py,20,10,3,7,10
tests/test_model_diagnostics.py,5,3,2,0,3
tests/test_target_balancing.py,13,8,2,3,6
tests/test_target_distribution.py,9,1,2,6,8
tft_loader.py,10,0,4,6,8
training/feature_selection.py,28,4,11,13,20
training/generate_oof_predictions.py,28,6,9,13,20
training/optimize_thresholds.py,21,0,17,4,11
training/rolling_cv.py,6,0,1,5,3
training/train_1d_regressor_final.py,63,25,15,23,36
training/train_binary_classifiers_final.py,57,12,20,25,34
training/train_gbm_baseline.py,35,6,15,14,27
training/train_meta_learner.py,21,0,8,13,14
training/train_multiple_symbols.py,17,2,0,15,13
training/train_quantile_regressor.py,26,11,6,9,18
training/train_smart_regressor.py,19,4,6,9,18
training/train_tft.py,54,9,25,20,30
training/train_with_tft.py,14,5,0,9,11
training/tune_hyperparameters.py,31,4,16,11,23
utils/__init__.py,8,8,0,0,2
utils/balanced_generator.py,2,0,2,0,2
utils/diagnostics.py,8,0,8,0,6
utils/ensemble_calibration.py,24,0,11,13,16
utils/feature_selection.py,17,0,10,7,12
utils/losses.py,3,0,3,0,2
utils/model_io.py,7,2,3,2,5
utils/model_paths.py,4,0,0,4,4
utils/training_logger.py,5,0,0,5,5
utils/ts_augment.py,2,0,1,1,2
verify_alignment_implementation.py,3,0,0,3,3
verify_error_handling.py,3,0,0,3,3
verify_validation_updates.py,2,0,0,2,2
