model_file,model_type,symbol,size_mb,modified_date,age_days,training_script,training_confidence,inference_usage,inference_count,status,recommendation
MSFT_1d_regressor_final_metadata.pkl,regressor,MSFT,0.0,2025-12-19T00:00:30.162649,1,logs/lgb_training_curve_MSFT_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_is_sell_classifier_final.weights.h5,binary_classifier,AAPL,1.61,2025-12-19T01:06:36.013482,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_is_sell_classifier_final.weights.h5,binary_classifier,KO,1.61,2025-12-19T20:19:32.145631,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_is_sell_classifier_calibrated.pkl,binary_classifier,AAPL,1.71,2025-12-19T01:06:35.529483,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_regressor_final.weights.h5,regressor,KO,11.69,2025-12-19T19:39:44.827424,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_1d_regressor_final.weights.h5,regressor,IWM,11.69,2025-12-19T15:30:39.137842,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_is_sell_classifier_final_model.keras,binary_classifier,KO,1.71,2025-12-19T20:19:34.391176,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_1d_regressor_final_features.pkl,regressor,ASML,0.0,2025-12-19T16:50:15.823741,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_binary_features.pkl,binary_classifier,AAPL,0.0,2025-12-19T01:06:38.265481,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_regressor_final_model.keras,regressor,KO,11.97,2025-12-19T19:39:45.354479,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_binary_features.pkl,binary_classifier,ASML,0.0,2025-12-19T17:05:33.053444,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_regressor_final_metadata.pkl,regressor,KO,0.0,2025-12-19T19:39:45.358533,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_binary_classifiers_final_metadata.pkl,binary_classifier,AAPL,0.0,2025-12-19T01:06:38.281481,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_binary_feature_scaler.pkl,binary_classifier,IWM,0.0,2025-12-19T15:44:29.589382,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
MSFT_1d_regressor_final_feature_scaler.pkl,regressor,MSFT,0.0,2025-12-19T00:00:30.158649,1,logs/lgb_training_curve_MSFT_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_1d_regressor_final_model.keras,regressor,AAPL,11.97,2025-12-19T00:50:51.013700,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_1d_regressor_final.weights.h5,regressor,AAPL,11.69,2025-12-19T00:50:50.429704,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_is_buy_classifier_final_model.keras,binary_classifier,ASML,1.71,2025-12-19T17:05:32.723904,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_is_sell_classifier_calibrated.pkl,binary_classifier,ASML,1.71,2025-12-19T17:05:30.468619,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
MSFT_1d_regressor_final_features.pkl,regressor,MSFT,0.0,2025-12-19T00:00:30.158649,1,logs/lgb_training_curve_MSFT_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
