model_file,model_type,size_mb,age_days,severity,has_training_script,has_inference_usage
MSFT_1d_regressor_final_metadata.pkl,regressor,0.0,1,MEDIUM,True,False
AAPL_is_sell_classifier_final.weights.h5,binary_classifier,1.61,1,MEDIUM,True,False
KO_is_sell_classifier_final.weights.h5,binary_classifier,1.61,0,MEDIUM,True,False
AAPL_is_sell_classifier_calibrated.pkl,binary_classifier,1.71,1,MEDIUM,True,False
KO_1d_regressor_final.weights.h5,regressor,11.69,0,MEDIUM,True,False
IWM_1d_regressor_final.weights.h5,regressor,11.69,1,MEDIUM,True,False
KO_is_sell_classifier_final_model.keras,binary_classifier,1.71,0,MEDIUM,True,False
ASML_1d_regressor_final_features.pkl,regressor,0.0,1,MEDIUM,True,False
AAPL_binary_features.pkl,binary_classifier,0.0,1,MEDIUM,True,False
KO_1d_regressor_final_model.keras,regressor,11.97,0,MEDIUM,True,False
ASML_binary_features.pkl,binary_classifier,0.0,1,MEDIUM,True,False
KO_1d_regressor_final_metadata.pkl,regressor,0.0,0,MEDIUM,True,False
AAPL_binary_classifiers_final_metadata.pkl,binary_classifier,0.0,1,MEDIUM,True,False
IWM_binary_feature_scaler.pkl,binary_classifier,0.0,1,MEDIUM,True,False
MSFT_1d_regressor_final_feature_scaler.pkl,regressor,0.0,1,MEDIUM,True,False
AAPL_1d_regressor_final_model.keras,regressor,11.97,1,MEDIUM,True,False
AAPL_1d_regressor_final.weights.h5,regressor,11.69,1,MEDIUM,True,False
ASML_is_buy_classifier_final_model.keras,binary_classifier,1.71,1,MEDIUM,True,False
ASML_is_sell_classifier_calibrated.pkl,binary_classifier,1.71,1,MEDIUM,True,False
MSFT_1d_regressor_final_features.pkl,regressor,0.0,1,MEDIUM,True,False
AAPL_is_buy_classifier_final.weights.h5,binary_classifier,1.61,1,MEDIUM,True,False
IWM_1d_regressor_final_target_scaler.pkl,regressor,0.0,1,MEDIUM,True,False
AAPL_is_sell_classifier_final_model.keras,binary_classifier,1.71,1,MEDIUM,True,False
IWM_1d_regressor_final_metadata.pkl,regressor,0.0,1,MEDIUM,True,False
ASML_is_buy_classifier_final.weights.h5,binary_classifier,1.61,1,MEDIUM,True,False
ASML_1d_target_scaler_robust.pkl,scaler,0.0,1,MEDIUM,True,False
IWM_binary_features.pkl,binary_classifier,0.0,1,MEDIUM,True,False
KO_1d_regressor_final_feature_scaler.pkl,regressor,0.0,0,MEDIUM,True,False
IWM_is_buy_classifier_calibrated.pkl,binary_classifier,1.71,1,MEDIUM,True,False
AAPL_1d_target_scaler_robust.pkl,scaler,0.0,1,MEDIUM,True,False
ASML_1d_regressor_final_feature_scaler.pkl,regressor,0.0,1,MEDIUM,True,False
KO_is_sell_classifier_calibrated.pkl,binary_classifier,1.71,0,MEDIUM,True,False
MSFT_1d_regressor_final.weights.h5,regressor,11.63,1,MEDIUM,True,False
ASML_is_sell_classifier_final_model.keras,binary_classifier,1.71,1,MEDIUM,True,False
KO_binary_features.pkl,binary_classifier,0.0,0,MEDIUM,True,False
AAPL_1d_regressor_final_features.pkl,regressor,0.0,1,MEDIUM,True,False
MSFT_1d_regressor_final_target_scaler.pkl,regressor,0.0,1,MEDIUM,True,False
IWM_is_sell_classifier_final_model.keras,binary_classifier,1.71,1,MEDIUM,True,False
AAPL_1d_regressor_final_metadata.pkl,regressor,0.0,1,MEDIUM,True,False
AAPL_binary_feature_scaler.pkl,binary_classifier,0.0,1,MEDIUM,True,False
ASML_binary_feature_scaler.pkl,binary_classifier,0.0,1,MEDIUM,True,False
AAPL_is_buy_classifier_final_model.keras,binary_classifier,1.71,1,MEDIUM,True,False
IWM_1d_regressor_final_model.keras,regressor,11.97,1,MEDIUM,True,False
AAPL_1d_regressor_final_target_scaler.pkl,regressor,0.0,1,MEDIUM,True,False
MSFT_1d_target_scaler_robust.pkl,scaler,0.0,1,MEDIUM,True,False
KO_binary_classifiers_final_metadata.pkl,binary_classifier,0.0,0,MEDIUM,True,False
KO_1d_regressor_final_features.pkl,regressor,0.0,0,MEDIUM,True,False
IWM_1d_regressor_final_features.pkl,regressor,0.0,1,MEDIUM,True,False
IWM_is_sell_classifier_calibrated.pkl,binary_classifier,1.71,1,MEDIUM,True,False
IWM_binary_classifiers_final_metadata.pkl,binary_classifier,0.0,1,MEDIUM,True,False
AAPL_1d_regressor_final_feature_scaler.pkl,regressor,0.0,1,MEDIUM,True,False
