peak_index,peak_date,trough_index,trough_date,recovery_index,recovery_date,depth_pct,duration_days,recovery_days,mean_pos_during_drawdown,mean_pos_outside_drawdown,mean_kelly_during,mean_kelly_outside,buy_hold_depth_pct,buy_hold_duration_days,buy_hold_recovery_days
2,2025-09-29 00:00:00,5,2025-10-02 00:00:00,9,2025-10-08 00:00:00,0.20691459879155785,3,4,0.22582797090517062,0.24460121308269883,0.10833333333333335,0.11250000000000002,-1.328044524345367,3,1
9,2025-10-08 00:00:00,10,2025-10-09 00:00:00,11,2025-10-10 00:00:00,0.029705027563851006,1,1,0.06560413969132695,0.24947881960119245,0.16666666666666669,0.11034482758620692,3.5132023736664317,1,6
11,2025-10-10 00:00:00,12,2025-10-13 00:00:00,14,2025-10-15 00:00:00,0.003735775362191234,1,2,0.2948803729350209,0.2415727425927892,0.10833333333333334,0.1123563218390805,-0.04440600354327578,1,1
16,2025-10-17 00:00:00,18,2025-10-21 00:00:00,20,2025-10-23 00:00:00,0.1640299508875418,2,2,0.4402542889600265,0.2329862622696796,0.0888888888888889,0.11345029239766084,1.45912793509933,2,2
21,2025-10-24 00:00:00,24,2025-10-29 00:00:00,30,2025-11-06 00:00:00,0.2868022287021286,3,6,0.36638577186010585,0.2345613701573463,0.05,0.1166666666666667,-0.9611563604506894,3,1
30,2025-11-06 00:00:00,31,2025-11-07 00:00:00,32,2025-11-10 00:00:00,0.10900664614032832,1,1,0.3544854145512929,0.23951739633015914,0.05,0.11436781609195404,-0.4538365265673558,1,1
33,2025-11-11 00:00:00,34,2025-11-12 00:00:00,36,2025-11-14 00:00:00,0.019092150188543235,1,2,0.16199147915529538,0.24615511824036596,0.10833333333333334,0.11235632183908048,0.19032581452384642,1,7
41,2025-11-21 00:00:00,43,2025-11-25 00:00:00,45,2025-11-28 00:00:00,0.0996861820332405,2,2,0.3237565835723235,0.23911772044797971,0.0888888888888889,0.11345029239766084,-0.5897981098840546,2,1
45,2025-11-28 00:00:00,46,2025-12-01 00:00:00,55,2025-12-12 00:00:00,0.41412744923172023,1,9,0.2724136329899987,0.24234745776330724,0.10833333333333334,0.1123563218390805,-1.085572076422477,1,1
55,2025-12-12 00:00:00,56,2025-12-15 00:00:00,57,2025-12-16 00:00:00,0.033522732314256586,1,1,0.2949720221287314,0.2415695822757647,0.10833333333333334,0.1123563218390805,-0.18224236954371673,1,
57,2025-12-16 00:00:00,59,2025-12-18 00:00:00,,,0.08210087155546142,2,,0.247973923057809,0.243106281527691,0.1277777777777778,0.11140350877192985,-0.67163830544462,2,
