date_index,date,strategy_equity_usd,buy_hold_equity_usd
0,2025-09-25T00:00:00.000000000,9966.612524747017,9944.957967874392
1,2025-09-26T00:00:00.000000000,9977.731898706737,9904.779242642602
2,2025-09-29T00:00:00.000000000,9981.184972132825,9912.562335524783
3,2025-09-30T00:00:00.000000000,9974.615388077691,9944.43277170741
4,2025-10-01T00:00:00.000000000,9963.643777121657,10009.619588659618
5,2025-10-02T00:00:00.000000000,9960.532443293094,10044.20557684404
6,2025-10-03T00:00:00.000000000,9975.481155349518,9992.297699418337
7,2025-10-06T00:00:00.000000000,9975.059637599083,9984.120313351052
8,2025-10-07T00:00:00.000000000,9975.341836885882,10045.436702539277
9,2025-10-08T00:00:00.000000000,9994.567110532986,9887.718663350124
10,2025-10-09T00:00:00.000000000,9991.598221617915,9540.343096567849
11,2025-10-10T00:00:00.000000000,10040.589128662674,9632.857439790814
12,2025-10-13T00:00:00.000000000,10040.214034807786,9637.135006806846
13,2025-10-14T00:00:00.000000000,10040.392969264994,9698.008337896403
14,2025-10-15T00:00:00.000000000,10060.592083423853,9624.217353275144
15,2025-10-16T00:00:00.000000000,10067.630900928489,9810.644355546197
16,2025-10-17T00:00:00.000000000,10457.056084804912,10190.12906448129
17,2025-10-20T00:00:00.000000000,10451.724424666678,10210.702774583619
18,2025-10-21T00:00:00.000000000,10439.903380844724,10041.442044678768
19,2025-10-22T00:00:00.000000000,10447.836591090901,10085.2485706001
20,2025-10-23T00:00:00.000000000,10577.438059228149,10210.352271245018
21,2025-10-24T00:00:00.000000000,10709.279890022664,10440.44543380596
22,2025-10-27T00:00:00.000000000,10707.07122343461,10447.822461982334
23,2025-10-28T00:00:00.000000000,10697.741676099286,10474.975519120024
24,2025-10-29T00:00:00.000000000,10678.56543662013,10540.79443915237
25,2025-10-30T00:00:00.000000000,10691.72007903537,10500.715003661939
26,2025-10-31T00:00:00.000000000,10697.344899752734,10449.322718287642
27,2025-11-03T00:00:00.000000000,10704.475451258753,10487.701736069392
28,2025-11-04T00:00:00.000000000,10703.601504570264,10491.585218691953
29,2025-11-05T00:00:00.000000000,10705.985074853805,10477.204771540431
30,2025-11-06T00:00:00.000000000,10730.228498125001,10426.594089865343
31,2025-11-07T00:00:00.000000000,10718.531835916001,10473.913782322064
32,2025-11-10T00:00:00.000000000,10731.20406738156,10697.753746478098
33,2025-11-11T00:00:00.000000000,10746.776504152702,10628.348383594695
34,2025-11-12T00:00:00.000000000,10744.724713442101,10608.119892963186
35,2025-11-13T00:00:00.000000000,10745.076353801349,10587.11183555792
36,2025-11-14T00:00:00.000000000,10781.407431108588,10392.962125634669
37,2025-11-17T00:00:00.000000000,10781.530923190212,10392.185363381956
38,2025-11-18T00:00:00.000000000,10793.067413740559,10435.615265634156
39,2025-11-19T00:00:00.000000000,10826.749500879838,10345.46588245748
40,2025-11-20T00:00:00.000000000,10962.456312460992,10547.094391073413
41,2025-11-21T00:00:00.000000000,11085.348180690122,10717.806992274614
42,2025-11-24T00:00:00.000000000,11075.132731545278,10758.515197306273
43,2025-11-25T00:00:00.000000000,11074.297620323701,10781.020415336072
44,2025-11-26T00:00:00.000000000,11078.132518617022,10831.399817221081
45,2025-11-28T00:00:00.000000000,11105.504080931747,10995.23761748942
46,2025-12-01T00:00:00.000000000,11059.51314015706,11114.598846801186
47,2025-12-02T00:00:00.000000000,11068.914573531078,11035.088472422827
48,2025-12-03T00:00:00.000000000,11078.86815430176,10900.286928006039
49,2025-12-04T00:00:00.000000000,11073.002169046977,10825.471817483703
50,2025-12-05T00:00:00.000000000,11076.714799933481,10790.857032771095
51,2025-12-08T00:00:00.000000000,11080.964712491457,10763.250605924772
52,2025-12-09T00:00:00.000000000,11079.426393831256,10825.202237238329
53,2025-12-10T00:00:00.000000000,11076.694622970645,10796.04002167623
54,2025-12-11T00:00:00.000000000,11078.890748197196,10805.743281365803
55,2025-12-12T00:00:00.000000000,11146.803332571464,10642.594231364561
56,2025-12-15T00:00:00.000000000,11143.06661952869,10661.989547272724
57,2025-12-16T00:00:00.000000000,11199.552002502189,10553.896042423405
58,2025-12-17T00:00:00.000000000,11197.804318751347,10567.475913197653
59,2025-12-18T00:00:00.000000000,11190.357072697827,10624.780050961124
