date,strategy_equity,buy_hold_equity
2020-01-02,100000.0,100000.0
2020-01-03,98570.8081466065,99027.82822731344
2020-01-06,99637.61572020338,99816.85369613583
2020-01-07,99001.0950048464,99347.40693601819
2020-01-08,101164.34327361388,100945.55338583035
2020-01-09,104083.12407564238,103089.71397457932
2020-01-10,104402.76645028095,103322.78819488242
2020-01-13,107431.89309027372,105530.21750678448
2020-01-14,105461.87691450225,104105.23810020591
2020-01-15,105012.77368682022,103659.06925638492
2020-01-16,106554.65616715295,104957.53229218136
2020-01-17,107946.12125515135,106119.52077208918
2020-01-21,107091.14603399781,105400.33958991877
2020-01-22,107538.09981673639,105776.60092051566
2020-01-23,108145.36610090853,106286.00687420368
2020-01-24,107776.97652670908,105979.68467011696
2020-01-27,104032.69724671614,102863.33123315738
2020-01-28,107545.39074009133,105773.24991219414
2020-01-29,110240.79001129001,107987.34962745328
2020-01-30,110050.5357232722,107830.86386149339
2020-01-31,104297.99795587819,103049.77585653304
2020-02-03,103957.40656998183,102766.78425755305
2020-02-04,108057.48684967181,106159.47996565959
2020-02-05,109110.4237600995,107025.12550211123
2020-02-06,110620.94293234785,108276.98001650428
2020-02-07,108835.96809628328,106805.23402209203
2020-02-10,109442.00357863752,107312.52188561452
2020-02-11,108677.09081006469,106665.05017397321
2020-02-12,111640.63044413971,109198.1279455021
2020-02-13,110712.63898037386,108420.49379742063
2020-02-14,110742.23552329448,108447.20702413499
2020-02-18,108333.37895132299,106461.48168731913
2020-02-19,110168.88812652146,108003.35648795785
2020-02-20,108637.68712768078,106895.32134957964
2020-02-21,106362.47885826441,104475.73527497923
2020-02-24,99572.30345097075,99513.12378150543
2020-02-25,95022.06557071723,96142.38876944338
2020-02-26,97013.35831208162,97667.57175504637
2020-02-27,89695.54051190757,91283.21594793336
2020-02-28,89614.17610105308,91229.81057002867
2020-03-02,100708.37474151184,99723.38374704063
2020-03-03,96994.20003848244,96556.22775939468
2020-03-04,102131.77804440992,101034.95575878686
2020-03-05,98341.01669364698,97757.69069582004
2020-03-06,96846.91051159849,96459.44895302595
2020-03-09,88003.91507800025,88830.26731878555
2020-03-10,95289.81938658179,95227.95339485072
2020-03-11,91357.86197392542,91920.64517237201
2020-03-12,80912.13284097168,82843.05868658813
2020-03-13,89717.57949832572,92768.32382458383
2020-03-16,76520.99203870987,80833.97113137948
2020-03-17,80403.62778135359,84388.24761338136
2020-03-18,78127.89982612769,82322.41947858948
2020-03-19,77443.00694138338,81691.66065750793
2020-03-20,71602.63635985224,76505.42731626074
2020-03-23,69819.95044161384,74880.13559149149
2020-03-24,76179.63550347759,82392.50613376789
2020-03-25,75582.84420381731,81938.6289170311
2020-03-26,80126.84257090435,86250.49145487616
2020-03-27,76187.02228327264,82679.52315783856
2020-03-30,78691.3708489723,85039.03345117718
2020-03-31,78501.38855920281,84865.49231739197
2020-04-01,74726.00214945318,80400.11039359495
2020-04-02,76361.49131307406,81741.73083373408
2020-04-03,74884.02613257674,80566.9916617851
2020-04-06,83700.87984985266,87595.44709669382
2020-04-07,82388.95639126521,86580.88190741086
2020-04-08,84837.25660666593,88796.9153020002
2020-04-09,85562.0244990399,89437.64284595031
2020-04-13,87548.05694596024,91193.10754492175
2020-04-14,91552.50541869481,95798.67858571859
2020-04-15,90426.42590169433,94924.26563126838
2020-04-16,91051.16101634377,95678.505947671
2020-04-17,89567.15394175446,94380.24312935286
2020-04-20,87421.89883148816,92421.2415570134
2020-04-21,83848.49653098056,89564.46481183093
2020-04-22,87034.4147072568,92144.24594462138
2020-04-23,86631.09523437737,91787.16334089634
2020-04-24,89941.98194665895,94436.99951557913
2020-04-27,90024.55651987513,94503.75623795998
2020-04-28,88667.5090317237,92971.90284899992
2020-04-29,92055.44273598342,96025.5776774794
2020-04-30,94611.8830491398,98051.34650996178
2020-05-01,92849.01660811421,96472.78975974015
2020-05-04,94365.13095129146,97837.7776871531
2020-05-05,96005.35432287116,99306.18321100579
2020-05-06,97136.79091004144,100330.78034972941
2020-05-07,98033.06220593769,101368.6656063571
2020-05-08,100731.2018560588,103781.46536221822
2020-05-11,102812.2826852766,105414.47072878428
2020-05-12,101709.27208288235,104209.77269941954
2020-05-13,100045.61900208669,102951.51122571985
2020-05-14,100870.60493340911,103583.97716424824
2020-05-15,100068.70117507727,102971.5962001252
2020-05-18,103261.4597213987,105397.74730046249
2020-05-19,102456.10076225516,104788.696269137
2020-05-20,105149.38931366647,106826.64675451157
2020-05-21,104092.79439535503,106030.18162570482
2020-05-22,104666.25648435383,106712.84946248458
2020-05-26,103692.6484487179,105990.0643657042
2020-05-27,104069.38746844775,106451.85017283513
2020-05-28,104102.32315491131,106498.72213828898
2020-05-29,103986.06937172079,106394.97787122669
2020-06-01,105451.29426553714,107703.42016765373
2020-06-02,106011.86266279347,108201.98276422574
2020-06-03,106681.8411989221,108797.68245107506
2020-06-04,105627.18793900753,107860.6857280029
2020-06-05,109068.00637178854,110932.6751868688
2020-06-08,109807.60791639388,111588.54549483806
2020-06-09,113799.31155547775,115112.26773587018
2020-06-10,117210.13889111581,118073.83198655468
2020-06-11,110698.13276347223,112405.0639847641
2020-06-12,111792.22738418457,113375.49702671779
2020-06-15,113401.73784858399,114777.64110300445
2020-06-16,116845.77149841339,117819.51363802433
2020-06-17,116659.20056615336,117655.52498550799
2020-06-18,116712.19503615676,117702.37587543779
2020-06-19,115942.69896736034,117029.78213914676
2020-06-22,119467.67129101968,120091.71857304797
2020-06-23,122429.64980457755,122655.03972156708
2020-06-24,119957.72139767418,120489.90898640329
2020-06-25,121824.02824744444,122089.49910961186
2020-06-26,117478.05369294628,118338.19282228778
2020-06-29,121073.83830754868,121065.4815477992
2020-06-30,121952.48028533629,122076.0950763256
2020-07-01,121662.65411558106,121845.20217276014
2020-07-02,121638.95288003805,121845.20217276014
2020-07-06,125375.38086855732,125104.57411582123
2020-07-07,124996.7528082638,124716.41565190659
2020-07-08,128368.95273966345,127621.05491217255
2020-07-09,129019.45895931749,128169.872095806
2020-07-10,129281.95158245899,128394.09459601437
2020-07-13,128582.35476050079,127801.81968182074
2020-07-14,131077.84443631998,129916.68529216106
2020-07-15,132124.32754788402,130810.17159586294
2020-07-16,129928.34905043126,129200.56006097572
2020-07-17,129574.18378364046,128939.55023356424
2020-07-20,133265.3070943235,131656.81754739702
2020-07-21,131544.44597763024,129839.73855390925
2020-07-22,131994.4322888516,130204.49264838302
2020-07-23,123848.31645525833,124278.03421421647
2020-07-24,123431.62881326705,123970.17349687518
2020-07-27,126800.63010550142,126908.31230259477
2020-07-28,124407.39895365345,124823.51092729038
2020-07-29,127556.97665536108,127216.1835576981
2020-07-30,128918.82436136022,128755.49768216655
2020-07-31,144719.0810481855,142234.7284381846
2020-08-03,148960.2793723956,145818.71614019483
2020-08-04,150275.49431472283,146792.52126599412
2020-08-05,150873.59835702414,147324.60448354378
2020-08-06,157022.7891760832,152464.62973834423
2020-08-07,152936.43388009784,148998.21184716327
2020-08-10,155523.11809069765,151163.91162147603
2020-08-11,150187.07002930433,146668.30212733182
2020-08-12,155927.22222685145,151542.70201495715
2020-08-13,157514.3519446003,154224.68890155535
2020-08-14,157430.10066085655,154087.202720513
2020-08-17,157183.49033290337,153684.9131177329
2020-08-18,157969.35562074158,154965.53572243373
2020-08-19,158088.26982439897,155159.95743165663
2020-08-20,160193.0141120524,158602.8866513006
2020-08-21,165146.1153171554,166776.11186298053
2020-08-24,166331.23394815653,168770.8048352733
2020-08-25,165512.5082216186,167386.24828379386
2020-08-26,166862.97071773768,169662.49971943223
2020-08-27,165666.1287958495,167634.29666392383
2020-08-28,165505.12565752066,167362.77015001889
2020-08-31,168872.7107515618,173038.40877264488
2020-09-01,172908.6826387085,179930.95869081392
2020-09-02,170759.27261423852,176203.1199995028
2020-09-03,162556.5722735289,162096.11260905414
2020-09-04,162621.1197619089,162203.38702639227
2020-09-08,156054.9917864822,151287.95161818413
2020-09-09,159789.66944263992,157322.27458436182
2020-09-10,156659.80930630135,152186.39067003422
2020-09-11,155425.74420648316,150188.3466894199
2020-09-14,158223.41512681334,154694.00920852882
2020-09-15,158371.52679340483,154935.35557201563
2020-09-16,152908.26279544664,150362.65181095136
2020-09-17,151375.93325201492,147962.3182275569
2020-09-18,148494.93576192373,143268.93601586824
2020-09-21,151196.8759984363,147613.68690896992
