date,strategy_equity,buy_hold_equity
2010-01-04,100000.0,100000.0
2010-01-05,100129.92377789496,100172.88402968438
2010-01-06,97902.88979456956,98579.50884397479
2010-01-07,97649.62047397264,98397.2552122687
2010-01-08,98557.89052551312,99051.454210569
2010-01-11,96961.24929883143,98177.64215154914
2010-01-12,94975.96046038557,97060.8673886763
2010-01-13,97387.45631847682,98429.99676600007
2010-01-14,96372.19275238807,97859.92340870881
2010-01-15,93473.16433171144,96224.48912059072
2010-01-19,100916.28683905932,100481.27035146345
2010-01-20,98939.386841266,98934.63163298111
2010-01-21,96767.02468247408,97224.41156110734
2010-01-22,90737.28509289157,92402.21946537796
2010-01-25,93191.2034486655,94888.08642461417
2010-01-26,94038.5895228815,96229.17392160158
2010-01-27,94871.84524492754,97135.63830004784
2010-01-28,91000.21111799679,93121.82720922018
2010-01-29,88217.59798401444,89743.48334884153
2010-02-01,89221.69922873437,90991.06816660611
2010-02-02,89688.14925172341,91519.08985768096
2010-02-03,90944.879414461,93093.77789269174
2010-02-04,88332.3772432078,89738.7911116386
2010-02-05,89535.59963590064,91332.18116973236
2010-02-08,89019.75473338322,90706.01661557631
2010-02-09,89816.5220566222,91673.2941728586
2010-02-10,89444.60061258095,91173.27718115969
2010-02-11,90614.63340675858,92832.10572956369
2010-02-12,91185.83591847625,93631.1543134041
2010-02-16,92203.69652257308,95042.26843121555
2010-02-17,91970.98281502255,94645.108848377
2010-02-18,92104.68285350944,94822.64049811182
2010-02-19,91561.11316013864,94233.90229869798
2010-02-22,91008.76354895733,93649.83402791084
2010-02-23,89859.36299995285,92079.78617675843
2010-02-24,91722.94972706235,93761.97180448794
2010-02-25,92432.58194633396,94388.09917768359
2010-02-26,93317.58947381271,95612.33435231476
2010-03-01,95898.22031627467,97654.31269767726
2010-03-02,95787.45117546126,97588.88164355911
2010-03-03,96122.30506745687,97813.16463290535
2010-03-04,97097.43929802516,98458.00890156813
2010-03-05,103084.48780828745,102308.27581996477
2010-03-08,103178.66074058066,102369.04438164832
2010-03-09,106357.62615268311,104210.07450841383
2010-03-10,107801.39296368306,105060.50717953195
2010-03-11,108333.30900423156,105368.90093750309
2010-03-12,109247.62724189309,105882.92027888996
2010-03-15,106875.80772324956,104593.23917775648
2010-03-16,107362.12898332327,104878.28329259419
2010-03-17,107097.7027407128,104724.07897741655
2010-03-18,107520.00189896999,104971.73391847246
2010-03-19,105605.9548904989,103850.25204601251
2010-03-22,107538.45674875623,105018.46294950762
2010-03-23,110538.30451286386,106705.24414394301
2010-03-24,111413.31176296376,107177.23412768974
2010-03-25,109035.11389063926,105906.24761344715
2010-03-26,112715.37282838303,107892.16450671319
2010-03-29,114014.09541493931,108588.36311788534
2010-03-30,117068.4821002459,110205.11025530461
2010-03-31,116309.08720509554,109807.95810865813
2010-04-01,117173.24071151286,110261.20888836145
2010-04-05,119425.5907917191,111438.70015957329
2010-04-06,120372.08186524698,111929.36242163465
2010-04-07,121330.83138286805,112424.64255897816
2010-04-08,120740.8335766521,112120.92616582579
2010-04-09,122407.38917360973,112980.6912580052
2010-04-12,122862.98254848231,113214.30666841273
2010-04-13,122990.73777923327,113279.70797776256
2010-04-14,125967.77043606873,114803.02679787982
2010-04-15,128948.69071621935,116312.31352354077
2010-04-16,127531.2822556714,115602.03076456775
2010-04-19,127225.1454350544,115447.8636303505
2010-04-20,124926.42417516324,114289.01489268501
2010-04-21,138376.8005163314,121125.17319820885
2010-04-22,144021.59048102982,124512.84204345671
2010-04-23,146693.47384864782,126550.11327923212
2010-04-26,145852.49677350593,125928.68557943149
2010-04-27,141072.33452959204,122442.85899871828
2010-04-28,140806.07643065517,122237.23341530254
2010-04-29,144744.92784083492,125526.84863177419
2010-04-30,140712.73776703427,121998.97038484458
2010-05-03,143261.3064337955,124456.80289993652
2010-05-04,139441.25486520652,120872.79627518172
2010-05-05,138178.85551507742,119615.90134493209
2010-05-06,132860.52136259613,115064.73614196829
2010-05-07,127590.69424570013,110209.77274773922
2010-05-10,136174.7648917639,118681.36534138116
2010-05-11,137129.4315473022,119863.57115837214
2010-05-12,138897.77804031875,122466.23838662004
2010-05-13,137738.0150654192,120723.32881435947
2010-05-14,136338.2711977934,118601.91706519086
2010-05-17,136463.67886381297,118788.84062552363
2010-05-18,135867.0488070582,117919.69849513045
2010-05-19,134414.49967219544,116041.27919458314
2010-05-20,130091.48611497297,111097.58715644707
2010-05-21,131998.49345048345,113228.36107144531
2010-05-24,133830.30151928082,115302.9917362342
2010-05-25,133204.6529939501,114583.39142858406
2010-05-26,132743.10843441472,114064.74677572298
2010-05-27,136574.00683494622,118382.28169589509
2010-05-28,137945.31527666497,120031.80013181405
2010-06-01,139477.10752321462,121877.47787863
2010-06-02,140688.29253097132,123335.33589986077
2010-06-03,140393.23635819592,122947.50873808352
2010-06-04,137896.22558364022,119601.89899524413
2010-06-07,136044.2474488621,117256.18194815304
2010-06-08,135318.5576046549,116503.86983153987
2010-06-09,131569.44651767233,113639.52300397184
2010-06-10,135927.24887125,117055.28578290064
2010-06-11,137667.28343863186,118457.10466061119
2010-06-14,138113.5963418651,118816.83045251545
2010-06-15,141301.3226480345,121344.71189700768
2010-06-16,145662.35459061753,124877.34187067687
2010-06-17,148217.95227944094,127036.11304885896
2010-06-18,149385.10195261487,128064.04762494357
2010-06-21,147214.01830244673,126241.71952126104
2010-06-22,149171.93963160642,127961.32406754066
2010-06-23,147649.25441128397,126615.52202477407
2010-06-24,146614.64325213476,125695.05529663984
2010-06-25,145385.95143778867,124620.33219998339
