date_index,date,strategy_equity_usd,buy_hold_equity_usd
0,2025-09-26T00:00:00.000000000,10075.096554229794,10115.875905941733
1,2025-09-29T00:00:00.000000000,10111.66601737386,10173.301271873439
2,2025-09-30T00:00:00.000000000,10469.892583433153,10536.436522356938
3,2025-10-01T00:00:00.000000000,10590.671063603679,10815.221861540187
4,2025-10-02T00:00:00.000000000,10580.966700256282,10836.721265165403
5,2025-10-03T00:00:00.000000000,10524.480260278557,10952.424834156935
6,2025-10-06T00:00:00.000000000,10735.450773153963,10513.326916284028
7,2025-10-07T00:00:00.000000000,10813.617116431,10360.228860489851
8,2025-10-08T00:00:00.000000000,10835.5594876051,10283.69838661842
9,2025-10-09T00:00:00.000000000,10912.158719247707,9807.717811151604
10,2025-10-10T00:00:00.000000000,11462.982159424437,10302.79133455006
11,2025-10-13T00:00:00.000000000,11453.186289081506,10287.293603282526
12,2025-10-14T00:00:00.000000000,11750.051878739518,10562.22467204031
13,2025-10-15T00:00:00.000000000,11797.699928025333,10664.027691919926
14,2025-10-16T00:00:00.000000000,11835.53212874352,10764.794360121148
15,2025-10-17T00:00:00.000000000,11845.954985960014,10898.666017782853
16,2025-10-20T00:00:00.000000000,11801.18208362576,10718.034030886276
17,2025-10-21T00:00:00.000000000,11758.890608498463,10576.464734326642
18,2025-10-22T00:00:00.000000000,11827.668265441065,10833.041222486017
19,2025-10-23T00:00:00.000000000,11818.207522796527,10798.387546527512
20,2025-10-24T00:00:00.000000000,11871.955919285036,11075.755510439209
21,2025-10-27T00:00:00.000000000,11848.788542936049,10997.109508686102
22,2025-10-28T00:00:00.000000000,11919.421894408411,11206.788405411437
23,2025-10-29T00:00:00.000000000,11933.696761424095,11254.930279839484
24,2025-10-30T00:00:00.000000000,11933.696761424095,11083.889975344611
25,2025-10-31T00:00:00.000000000,11954.90138819483,11163.02894795651
26,2025-11-03T00:00:00.000000000,11954.90138819483,10772.462685799343
27,2025-11-04T00:00:00.000000000,11954.90138819483,10913.854141563517
28,2025-11-05T00:00:00.000000000,11954.90138819483,10760.642802871946
29,2025-11-06T00:00:00.000000000,11890.718156875075,10631.903037847134
30,2025-11-07T00:00:00.000000000,11981.15381457536,10857.71195685627
31,2025-11-10T00:00:00.000000000,11981.15381457536,10685.245211918884
32,2025-11-11T00:00:00.000000000,12028.726119016688,10839.94311860748
33,2025-11-12T00:00:00.000000000,12130.878351268608,10655.829792542307
34,2025-11-13T00:00:00.000000000,12207.967750669146,10520.398293678825
35,2025-11-14T00:00:00.000000000,12171.717704920195,10655.552736721498
36,2025-11-17T00:00:00.000000000,12267.575150490997,10487.718731489154
37,2025-11-18T00:00:00.000000000,12242.969384949449,10849.801499510344
38,2025-11-19T00:00:00.000000000,12596.29107745573,10223.569397047237
39,2025-11-20T00:00:00.000000000,12689.87825251203,10071.652460072968
40,2025-11-21T00:00:00.000000000,12689.87825251203,10290.678394277285
41,2025-11-24T00:00:00.000000000,12735.944841862478,10449.870808825834
42,2025-11-25T00:00:00.000000000,12918.984618818771,10835.86965127085
43,2025-11-26T00:00:00.000000000,12987.95248295523,11032.171891971084
44,2025-11-28T00:00:00.000000000,13037.63925232618,11319.703830549579
45,2025-12-01T00:00:00.000000000,13135.938819028263,11533.967598842997
46,2025-12-02T00:00:00.000000000,13237.460871013389,11863.546741554945
47,2025-12-03T00:00:00.000000000,13237.460871013389,11538.450589563377
48,2025-12-04T00:00:00.000000000,13301.026008755332,11427.637313784751
49,2025-12-05T00:00:00.000000000,13301.026008755332,11635.889891839
50,2025-12-08T00:00:00.000000000,13296.195528230213,11549.83795029737
51,2025-12-09T00:00:00.000000000,13256.299985109632,11631.436295779033
52,2025-12-10T00:00:00.000000000,13235.488591174964,11667.9572560846
53,2025-12-11T00:00:00.000000000,13487.713416738832,11223.251575092234
54,2025-12-12T00:00:00.000000000,13459.779432967369,11295.393493257267
55,2025-12-15T00:00:00.000000000,13528.436913455525,11172.51463766996
56,2025-12-16T00:00:00.000000000,13819.959289384584,10524.67845952043
57,2025-12-17T00:00:00.000000000,13701.575065492216,10738.90010693043
58,2025-12-18T00:00:00.000000000,13611.223236923513,10941.229141958462
59,2025-12-19T00:00:00.000000000,13612.66735138425,10937.912469922005
