peak_index,peak_date,trough_index,trough_date,recovery_index,recovery_date,depth_pct,duration_days,recovery_days,mean_pos_during_drawdown,mean_pos_outside_drawdown,mean_kelly_during,mean_kelly_outside,buy_hold_depth_pct,buy_hold_duration_days,buy_hold_recovery_days
2,2025-09-30 00:00:00,3,2025-10-01 00:00:00,6,2025-10-06 00:00:00,0.23665653083270669,1,3,0.19779276274973984,0.14375746055806557,0.05,0.09022988505747126,1.023496841853897,1,6
8,2025-10-08 00:00:00,10,2025-10-10 00:00:00,13,2025-10-15 00:00:00,0.16637180058407267,2,3,0.154161505575567,0.1451058547568523,0.1277777777777778,0.0868421052631579,-0.6421927389528936,2,1
13,2025-10-15 00:00:00,14,2025-10-16 00:00:00,16,2025-10-20 00:00:00,0.14873922623944935,1,2,0.181676225185896,0.14431320323268085,0.10833333333333334,0.08821839080459772,-1.2497504567800208,1,1
16,2025-10-20 00:00:00,21,2025-10-27 00:00:00,22,2025-10-28 00:00:00,0.37220810730448434,5,1,0.25959248114167754,0.13288821020402253,0.049999999999999996,0.09320987654320989,1.4994373321030752,5,10
24,2025-10-30 00:00:00,25,2025-10-31 00:00:00,26,2025-11-03 00:00:00,0.08794931995954162,1,1,0.03235890616097737,0.14946207630250566,0.16666666666666669,0.08620689655172414,1.3589662073560076,1,3
26,2025-11-03 00:00:00,27,2025-11-04 00:00:00,28,2025-11-05 00:00:00,0.04137849888510596,1,1,0.15303050605064528,0.14530098665113778,0.10833333333333334,0.08821839080459772,0.21871049115000388,1,1
36,2025-11-17 00:00:00,43,2025-11-26 00:00:00,45,2025-12-01 00:00:00,0.16180982173028408,7,2,0.0898114898807418,0.15413512151579514,0.12291666666666667,0.08365384615384616,-2.635605833818682,7,1
45,2025-12-01 00:00:00,46,2025-12-02 00:00:00,47,2025-12-03 00:00:00,0.028497535770779257,1,1,0.1587270205987736,0.1451045551149954,0.05,0.09022988505747129,-0.19790703925789802,1,8
50,2025-12-08 00:00:00,52,2025-12-10 00:00:00,53,2025-12-11 00:00:00,0.11486560723178953,2,1,0.15031332059681543,0.14530839080836552,0.0888888888888889,0.0888888888888889,1.4107644854286712,2,1
54,2025-12-12 00:00:00,55,2025-12-15 00:00:00,56,2025-12-16 00:00:00,0.06037825733627223,1,1,0.03555763988326265,0.1493517751396682,0.10833333333333334,0.08821839080459772,0.8490194728122605,1,
56,2025-12-16 00:00:00,58,2025-12-18 00:00:00,,,0.06646192606396906,2,,0.15676398246713283,0.14496888228887517,0.1277777777777778,0.0868421052631579,0.8650361146249607,2,
