date_index,date,strategy_equity_usd,buy_hold_equity_usd
0,2025-09-26T00:00:00.000000000,10017.580891655884,10056.184907566456
1,2025-09-29T00:00:00.000000000,10021.7405321001,10098.731323777738
2,2025-09-30T00:00:00.000000000,10033.126215684224,10168.535484852035
3,2025-10-01T00:00:00.000000000,10009.382167248119,10064.46084530178
4,2025-10-02T00:00:00.000000000,10023.412127442905,10147.85823409384
5,2025-10-03T00:00:00.000000000,10031.487143305721,10063.769787473228
6,2025-10-06T00:00:00.000000000,10038.96282472568,10168.278375014781
7,2025-10-07T00:00:00.000000000,10050.069263120675,10065.761670786404
8,2025-10-08T00:00:00.000000000,10054.805256403157,10103.748063601459
9,2025-10-09T00:00:00.000000000,10047.71186455941,10205.233550816096
10,2025-10-10T00:00:00.000000000,10038.076895852857,10168.633600028
11,2025-10-13T00:00:00.000000000,10054.785144311214,10276.14300644866
12,2025-10-14T00:00:00.000000000,10054.785144311214,10210.480354980402
13,2025-10-15T00:00:00.000000000,10073.392765929379,10287.815064301354
14,2025-10-16T00:00:00.000000000,10058.409679473274,10416.387080060143
15,2025-10-17T00:00:00.000000000,10058.409679473274,10416.387080060143
16,2025-10-20T00:00:00.000000000,10218.631257314808,10831.127555306934
17,2025-10-21T00:00:00.000000000,10200.56452922643,10768.594286496498
18,2025-10-22T00:00:00.000000000,10200.56452922643,10635.46902715973
19,2025-10-23T00:00:00.000000000,10187.177085479016,10600.435475481094
20,2025-10-24T00:00:00.000000000,10187.177085479016,10653.524716139009
21,2025-10-27T00:00:00.000000000,10180.59668331953,10668.721585254958
22,2025-10-28T00:00:00.000000000,10275.919622027213,10389.873870012554
23,2025-10-29T00:00:00.000000000,10275.919622027213,10485.202108296082
24,2025-10-30T00:00:00.000000000,10275.919622027213,10473.034330893193
25,2025-10-31T00:00:00.000000000,10266.882020600053,10330.709333451561
26,2025-11-03T00:00:00.000000000,10279.001149539421,10435.053314871771
27,2025-11-04T00:00:00.000000000,10274.747853163359,10412.23075851505
28,2025-11-05T00:00:00.000000000,10288.87434800139,10495.485747319985
29,2025-11-06T00:00:00.000000000,10348.53223094691,10719.523262683992
30,2025-11-07T00:00:00.000000000,10348.53223094691,10714.962548390971
31,2025-11-10T00:00:00.000000000,10391.324471012835,10879.313790515755
32,2025-11-11T00:00:00.000000000,10398.585162732745,10864.110465130725
33,2025-11-12T00:00:00.000000000,10398.585162732745,10797.057754339412
34,2025-11-13T00:00:00.000000000,10398.585162732745,10810.721799412744
35,2025-11-14T00:00:00.000000000,10398.585162732745,10737.552205011942
36,2025-11-17T00:00:00.000000000,10410.881303125527,10819.275798369747
37,2025-11-18T00:00:00.000000000,10410.43611028813,10802.552818540396
38,2025-11-19T00:00:00.000000000,10410.712934173082,10817.733730911352
39,2025-11-20T00:00:00.000000000,10398.862473921066,11078.884171128071
40,2025-11-21T00:00:00.000000000,10398.862473921066,11024.075554472967
41,2025-11-24T00:00:00.000000000,10399.773187912828,11027.113474637423
42,2025-11-25T00:00:00.000000000,10394.909961731999,11068.040999079842
43,2025-11-26T00:00:00.000000000,10394.035474648388,11104.429262488513
44,2025-11-28T00:00:00.000000000,10394.035474648388,11003.03171092884
45,2025-12-01T00:00:00.000000000,10426.39879325917,10805.524407541796
46,2025-12-02T00:00:00.000000000,10423.427526533458,10826.909300973051
47,2025-12-03T00:00:00.000000000,10435.186716967595,10771.724499239137
48,2025-12-04T00:00:00.000000000,10435.27683026089,10702.699795163986
49,2025-12-05T00:00:00.000000000,10447.063147797315,10740.855628072486
50,2025-12-08T00:00:00.000000000,10451.836245606035,10716.364007377566
51,2025-12-09T00:00:00.000000000,10448.270746563936,10734.696059691509
52,2025-12-10T00:00:00.000000000,10439.830680435647,10565.181349832223
53,2025-12-11T00:00:00.000000000,10500.783732029331,10778.564870042475
54,2025-12-12T00:00:00.000000000,10500.783732029331,10847.12688799102
55,2025-12-15T00:00:00.000000000,10494.44354180528,10755.032668471322
56,2025-12-16T00:00:00.000000000,10508.560781985037,10800.785155889474
57,2025-12-17T00:00:00.000000000,10506.172591829702,10753.302741500123
58,2025-12-18T00:00:00.000000000,10501.576590087727,10707.354463627978
59,2025-12-19T00:00:00.000000000,10501.576590087727,10702.004641200981
