peak_index,peak_date,trough_index,trough_date,recovery_index,recovery_date,depth_pct,duration_days,recovery_days,mean_pos_during_drawdown,mean_pos_outside_drawdown,mean_kelly_during,mean_kelly_outside,buy_hold_depth_pct,buy_hold_duration_days,buy_hold_recovery_days
0,2025-09-26 00:00:00,1,2025-09-29 00:00:00,2,2025-09-30 00:00:00,0.7112122335419895,1,1,0.3158314426699928,0.2700581769874668,0.10833333333333334,0.1002873563218391,1.2207631388299915,1,19
5,2025-10-03 00:00:00,6,2025-10-06 00:00:00,8,2025-10-08 00:00:00,0.361155445698901,1,2,0.500444571373432,0.26369220703217583,0.10833333333333334,0.1002873563218391,0.3611554456988898,1,1
9,2025-10-09 00:00:00,10,2025-10-10 00:00:00,12,2025-10-14 00:00:00,0.6415703517548694,1,2,0.46914754874933057,0.264771414708869,0.05,0.10229885057471268,-1.4637862832970152,1,1
12,2025-10-14 00:00:00,22,2025-10-28 00:00:00,23,2025-10-29 00:00:00,0.6260475720099307,10,1,0.3046551101032194,0.26415981509138053,0.10303030303030304,0.10000000000000002,-4.710162587693723,10,
27,2025-11-04 00:00:00,29,2025-11-06 00:00:00,30,2025-11-07 00:00:00,0.0467543789374847,2,1,0.02801013651108279,0.28440362703648797,0.1277777777777778,0.09912280701754386,2.276725955924741,2,14
31,2025-11-10 00:00:00,34,2025-11-13 00:00:00,36,2025-11-17 00:00:00,0.15438999123941108,3,2,0.05643032975600417,0.286952068421233,0.16666666666666669,0.09583333333333334,2.8523406645694536,3,7
37,2025-11-18 00:00:00,38,2025-11-19 00:00:00,39,2025-11-20 00:00:00,0.01868995309936818,1,1,0.17821606326926306,0.2748035348978368,0.10833333333333334,0.1002873563218391,0.198387433572473,1,1
42,2025-11-25 00:00:00,43,2025-11-26 00:00:00,45,2025-12-01 00:00:00,0.0988215781069159,1,2,0.1256739160061388,0.27661533307932384,0.10833333333333334,0.1002873563218391,-2.237999584411426,1,1
51,2025-12-09 00:00:00,52,2025-12-10 00:00:00,53,2025-12-11 00:00:00,0.03932501970023702,1,1,0.07599884646705175,0.2783282665117061,0.16666666666666669,0.09827586206896553,-0.3960557936591322,1,3
53,2025-12-11 00:00:00,54,2025-12-12 00:00:00,55,2025-12-15 00:00:00,0.032203836109975195,1,1,0.06860917215716844,0.2785830828672194,0.16666666666666669,0.09827586206896553,-0.5893679380504936,1,1
56,2025-12-16 00:00:00,59,2025-12-19 00:00:00,,,0.16484937947462133,3,,0.13724597169379626,0.2811795225685335,0.10833333333333334,0.1,-1.5714091737124163,3,
