date,strategy_equity,buy_hold_equity
2020-01-02,100000.0,100000.0
2020-01-03,98950.2144674685,99196.06880141395
2020-01-06,99848.69336646478,99957.69272797962
2020-01-07,98896.92715859198,99139.6209391513
2020-01-08,97137.31596242815,97644.55408013635
2020-01-09,97988.85269991973,98392.12329048957
2020-01-10,96993.3729197598,97517.61079556777
2020-01-13,98051.28739244046,98448.50674722985
2020-01-14,96920.47388505128,97602.20387110107
2020-01-15,96728.65456585301,97447.0939047544
2020-01-16,96364.92865425897,97066.27120721783
2020-01-17,96033.64598287037,96699.57478758521
2020-01-21,94161.20958316649,95317.35355991148
2020-01-22,93429.98062964882,94767.26599344767
2020-01-23,92658.99887097375,94174.86399879433
2020-01-24,91809.83459674256,93540.17620062806
2020-01-27,89786.72387255041,91311.6878776713
2020-01-28,89623.5182910539,91184.74459310272
2020-01-29,88593.5514708008,90423.12066653703
2020-01-30,89845.02072219997,91382.21908082298
2020-01-31,84845.12740049024,87616.33515832343
2020-02-03,82322.5405225555,85655.83105773116
2020-02-04,81357.519699226,84583.9013244423
2020-02-05,86304.97452155082,88476.70706300296
2020-02-06,85211.89619358083,87277.85551365299
2020-02-07,84534.66961800442,86699.55832839616
2020-02-10,83510.7319830532,85783.92648553304
2020-02-11,84417.67134518594,86599.40058495956
2020-02-12,85777.14434026869,87658.13434233407
2020-02-13,85218.34818704921,87171.70090046788
2020-02-14,84750.94112723896,86771.10570756726
2020-02-18,83506.81072962786,85669.47071613284
2020-02-19,84349.2768156766,86327.59496826843
2020-02-20,83555.48364614013,85640.8531956982
2020-02-21,82611.0858517038,84596.45324513303
2020-02-24,77343.84935146678,80633.46695570907
2020-02-25,73351.12748449057,77543.18265041172
2020-02-26,71176.98642085171,75840.64413537264
2020-02-27,65553.92221266794,71276.75432234403
2020-02-28,68003.67346784026,73594.48723078221
2020-03-02,72346.00187820282,77085.35957281102
2020-03-03,67640.72707673977,73394.17890007817
2020-03-04,69606.42566381347,74996.55967168066
2020-03-05,65439.0520340915,71691.67616588484
2020-03-06,61155.0449085055,68229.41418812149
2020-03-09,51036.16063880371,59888.51618764819
2020-03-10,53591.927117742336,62106.07346222689
2020-03-11,51204.83453832606,60060.19626366387
2020-03-12,43306.2505781882,53192.90734900642
2020-03-13,44580.508604986695,54537.7340147819
2020-03-16,38810.545620434124,49344.35893855975
2020-03-17,42355.92400683301,52663.55120457288
2020-03-18,36632.39737080821,47384.31283279315
2020-03-19,38360.00757945402,49258.51353342505
2020-03-20,35804.40917364756,46840.66224048061
2020-03-23,34174.071387993215,44995.08263836791
2020-03-24,40056.88636736111,50703.49794263712
2020-03-25,42868.02195149429,53350.27508672022
2020-03-26,45219.47128439099,55539.2291532026
2020-03-27,42347.55215608935,52863.823754431156
2020-03-30,43084.78709669923,53650.719692353385
2020-03-31,43806.139661606125,54323.152704706285
2020-04-01,43119.55872454196,53693.63881683615
2020-04-02,46104.98449545094,57799.70913034863
2020-04-03,44248.53865343373,56097.195661901584
2020-04-06,45905.8555136605,57899.863295700656
2020-04-07,47085.00006780133,59001.483974796785
2020-04-08,50639.34770793195,62735.565881589544
2020-04-09,49678.20490666141,61705.4997378337
2020-04-13,49107.292248685495,61176.12928106186
2020-04-14,48593.58240406341,60704.00102132841
2020-04-15,45973.3312983341,57914.16132166424
2020-04-16,44218.75356581963,56011.36814718976
2020-04-17,50400.31559531903,61834.23922085915
2020-04-20,47639.35346698115,58915.649303915794
2020-04-21,47337.1733324749,58600.88162572701
2020-04-22,49162.79077496386,60274.80262033147
2020-04-23,51193.4933889867,62163.294190757806
2020-04-24,51633.49212193407,62563.889383658425
2020-04-27,51958.3247032529,62864.333989291605
2020-04-28,53049.87908552781,64337.932340853724
2020-04-29,56551.30595758823,67900.35206205367
2020-04-30,55174.91470919805,66483.9744390225
2020-05-01,50479.658770449096,61719.76198295154
2020-05-04,53151.517970608205,64209.20001399744
2020-05-05,53069.43916368275,64137.659790995465
2020-05-06,51762.39015683516,62935.86705612445
2020-05-07,52152.98973028115,63293.546702626874
2020-05-08,55248.50773150771,66069.08837632745
2020-05-11,54538.83767463681,65439.56017611901
2020-05-12,53337.79548009079,64345.75403373572
2020-05-13,50190.99973194202,61151.79830594867
2020-05-14,50782.698563017,61691.42355311381
2020-05-15,50295.966028275216,61253.90968356347
2020-05-18,54894.53000635174,66125.0353067495
2020-05-19,52885.82582778369,64083.24428077168
2020-05-20,55131.19435994062,66168.78812493836
2020-05-21,53798.926454978224,64987.469190008196
2020-05-22,53848.93253700857,65045.79196858839
2020-05-26,55980.07843525549,66956.33885233793
2020-05-27,56512.58565317375,67437.60554007711
2020-05-28,54795.222034768274,65687.49281252257
2020-05-29,55401.485133355,66314.62369606544
2020-06-01,56551.37359268284,67495.94978716476
2020-06-02,58016.47498103567,68998.1227221466
2020-06-03,60784.77163963195,71812.89451513265
2020-06-04,60581.29688295099,71608.7218530871
2020-06-05,66380.256898579,77413.24808713805
2020-06-08,68770.22788926633,79834.24451642434
2020-06-09,66973.02790663409,78054.9560872414
2020-06-10,62745.86171017697,73869.27697000925
2020-06-11,55448.1275564762,67350.12852837601
2020-06-12,57059.30321535022,68793.95721627021
2020-06-15,57009.99353006444,68750.1972419122
2020-06-16,58745.41347955077,70296.13730742122
2020-06-17,56177.84256202795,68006.38502036322
2020-06-18,56650.55970079256,68429.3360856914
2020-06-19,55147.01652577703,67058.40729293785
2020-06-22,55763.48816634802,67700.13676154862
2020-06-23,56206.21134684711,68108.49639797803
2020-06-24,53063.632440056914,64899.949241292205
2020-06-25,54017.371428764636,65877.08835800769
2020-06-26,51500.23047825523,63616.53324108555
2020-06-29,52457.56780926202,64637.43948832818
2020-06-30,53091.49615693358,65220.80324134388
2020-07-01,51479.16009520835,63747.79885182128
2020-07-02,52045.69466518305,64287.41694281726
2020-07-06,52537.74982933989,64739.52224126637
2020-07-07,50720.113562221835,63062.34518969823
2020-07-08,50574.860205979356,62916.47383772542
2020-07-09,47821.48088244875,60320.48760419114
2020-07-10,49823.84504760828,62201.873098650576
2020-07-13,49839.39013728113,62216.45021521104
2020-07-14,51993.986996209656,64272.839826256786
2020-07-15,52745.98098708386,65089.57341145388
2020-07-16,52259.976362426256,64579.09524124053
2020-07-17,51077.465857929994,63470.69051378932
2020-07-20,49470.16407407979,61983.10900770625
2020-07-21,52835.78687768223,65118.720488405655
2020-07-22,51185.876581774195,63601.9775930325
2020-07-23,51324.98287028545,63733.221735260784
2020-07-24,50909.491569922924,63339.453527730155
2020-07-27,51904.18767661174,64272.83982625677
2020-07-28,51083.5861421386,63514.46480048562
2020-07-29,51578.40172816941,64214.49557916914
2020-07-30,48167.672640617384,61064.299825740105
2020-07-31,48484.68550284474,61370.562396893
2020-08-03,48748.908271252876,61618.49503329656
2020-08-04,50593.20631471181,63397.77630631035
2020-08-05,51112.05322764822,63951.97867003596
2020-08-06,50774.23684141497,63645.708942713914
2020-08-07,50544.529628160184,63354.03064429064
2020-08-10,52193.99973710045,64914.53351402181
2020-08-11,52820.2522630666,65585.41721575354
2020-08-12,52797.3948877241,65570.55385242702
2020-08-13,51101.232181053005,63964.365998836234
2020-08-14,51403.64706980901,64246.94880626866
2020-08-17,50506.28451043837,63414.09952814364
2020-08-18,50205.03033619166,63101.78283788905
2020-08-19,49687.92751928858,62402.811172239875
2020-08-20,48775.4398792285,61451.004894318736
2020-08-21,48282.658315509994,60989.975852938405
2020-08-24,49957.362436743606,62789.50908464937
2020-08-25,48126.56843680182,60796.64478715654
2020-08-26,46745.03770059868,59502.777201904915
2020-08-27,46321.01049257806,59101.23381659179
2020-08-28,47820.76989243012,60514.06197972411
2020-08-31,46626.02266160947,59398.65851884327
2020-09-01,45822.481543448346,58640.21550946518
2020-09-02,45443.87798452533,58283.26221413158
2020-09-03,45318.11743751259,58164.30521433546
2020-09-04,45270.91479982911,58119.68649967933
2020-09-08,43855.33565523861,56781.21809019446
2020-09-09,43599.211051496095,56439.156782863975
2020-09-10,42106.26984541157,55026.30715122421
2020-09-11,41952.90460814936,54877.59480009847
2020-09-14,41633.16791186201,54520.670129441474
2020-09-15,41036.76680829108,53940.659041672996
2020-09-16,43037.83203089033,56230.9480414173
2020-09-17,43016.56617820693,56216.066787667914
2020-09-18,42370.42034965131,55308.87922440291
2020-09-21,41355.00511313087,54178.60882211099
2020-09-22,39976.75666596137,52840.111787949514
2020-09-23,38249.45346739053,51144.7258639768
2020-09-24,38144.77750512648,51040.625071338036
2020-09-25,38627.21401628795,51516.52463221403
2020-09-28,39641.62546962914,52512.95678096045
2020-09-29,38105.55887254326,50981.14657143998
2020-09-30,38165.76304671414,51055.488434664556
2020-10-01,36374.277734563875,49270.85076904128
2020-10-02,36176.44672269901,49047.775086183516
2020-10-05,37296.45634365847,50178.045488475436
2020-10-06,36774.27294987152,49657.52363485874
2020-10-07,36910.08662297935,49821.120817818446
2020-10-08,39476.278962276665,52438.575558805554
2020-10-09,38791.06905932576,51665.251295678085
2020-10-12,38624.3270678271,51501.64695654924
2020-10-13,38026.11804468715,50891.90556404316
2020-10-14,37931.482330821724,50787.8047714044
2020-10-15,38227.16922741921,51233.95613711992
2020-10-16,37700.039934433946,50713.44143967237
2020-10-19,36703.93213402936,49702.14592759945
2020-10-20,37118.94008010668,50118.55625432366
2020-10-21,36315.793307622625,49315.473061781995
2020-10-22,38748.492577147976,51843.70110771058
2020-10-23,37696.074004400034,50802.67886898464
2020-10-26,36486.38770922499,49598.041556876124
2020-10-27,35701.47148933751,48809.83246191469
2020-10-28,34128.11847359495,46950.83146455939
2020-10-29,35864.92358772838,49032.915300941604
2020-10-30,35343.04601694425,48512.38629115576
2020-11-02,37356.23907070643,50549.85856905099
2020-11-03,36762.8250603384,49687.27540810381
2020-11-04,36486.43010860585,49419.57385442076
2020-11-05,36398.41873286546,49330.34715936224
2020-11-06,35823.69902495246,48750.33607159375
2020-11-09,39938.46818968299,54922.21351475463
2020-11-10,41120.334529705295,56140.67654566277
2020-11-11,40720.108572768826,55561.9177874957
2020-11-12,39113.10989173564,53658.05118764857
2020-11-13,40218.69569956539,54952.67017066104
2020-11-16,43301.42771872723,58120.67762910678
2020-11-17,43960.691964541315,58897.447587680435
2020-11-18,41721.25902804125,56673.74316380107
2020-11-19,41959.632562846484,56963.127910011455
2020-11-20,41254.568933431365,56262.51390354214
