date,strategy_equity,buy_hold_equity
2020-01-02,100000.0,100000.0
2020-01-03,99116.02580686528,99196.02580686529
2020-01-06,99877.05700163323,99957.67125644306
2020-01-07,99059.68066804639,99139.63518992045
2020-01-08,97565.83375030989,97644.5825362553
2020-01-09,98312.75005877981,98392.10170691821
2020-01-10,97438.99283438244,97517.63924260245
2020-01-13,98369.11664879367,98448.51379237203
2020-01-14,97523.53914420407,97602.25379269835
2020-01-15,97368.51850846887,97447.10803440341
2020-01-16,96988.0029110849,97066.28530961453
2020-01-17,96621.55929760898,96699.54592672252
2020-01-21,95240.45986069686,95317.33175630435
2020-01-22,94690.84449327129,94767.27277515398
2020-01-23,94098.93451973991,94174.88505044667
2020-01-24,93464.75854169605,93540.19720686108
2020-01-27,91238.06014899934,91311.70156826024
2020-01-28,91111.22638347025,91184.76543077706
2020-01-29,90350.20233910062,90423.12713736895
2020-01-30,91308.53447491293,91382.23277645928
2020-01-31,87545.6874079756,87616.34858446669
2020-02-03,85586.77143263514,85655.85149974709
2020-02-04,84515.69181599845,84583.90737740979
2020-02-05,88405.36549806656,88476.7205507159
2020-02-06,87207.46641669741,87277.85460323474
2020-02-07,86629.64987826909,86699.57168893331
2020-02-10,85714.74211149829,85783.9254682067
2020-02-11,86529.58005367896,86599.42109449893
2020-02-12,87587.46003500353,87658.15492763824
2020-02-13,87101.40455830905,87171.70713862273
2020-02-14,86701.1252599485,86771.10476088518
2020-02-18,85600.39294144862,85669.48400295521
2020-02-19,86257.97217321764,86327.59398984797
2020-02-20,85571.79134813954,85640.859324303
2020-02-21,84528.24791546115,84596.47361133812
2020-02-24,80568.42167540418,80633.45125746782
2020-02-25,77480.6508649427,77543.18819953347
2020-02-26,75779.49959890198,75840.66387499716
2020-02-27,71219.29731369416,71276.7808915385
2020-02-28,73535.12542154027,73594.47818498926
2020-03-02,77023.18983115898,77085.35793300049
2020-03-03,73335.00007315665,73394.1913084598
2020-03-04,74936.0743642089,74996.55788239205
2020-03-05,71633.85595751426,71691.67414009316
2020-03-06,68174.3859908063,68229.41191456447
2020-03-09,59840.221344461395,59888.52047337201
2020-03-10,62055.99750371319,62106.08506281253
2020-03-11,60011.75582513343,60060.19340550376
2020-03-12,53150.01550313653,53192.914733665944
2020-03-13,54493.76125918699,54537.74507376434
2020-03-16,49304.56345952341,49344.35889164097
2020-03-17,52621.07908767341,52663.55139518112
2020-03-18,47346.10153447673,47384.31622369497
2020-03-19,49218.801581986125,49258.52779270234
2020-03-20,46802.88934875322,46840.66559247787
2020-03-23,44958.78731935373,44995.07512403787
2020-03-24,50662.62073782589,50703.51230531996
2020-03-25,53307.2599127515,53350.28606072609
2020-03-26,55494.441629092544,55539.23312768408
2020-03-27,52821.21516165451,52863.84900596507
2020-03-30,53607.45866092442,53650.72710977476
2020-03-31,54279.335114148824,54323.14585790879
2020-04-01,53650.34675009139,53693.64981541374
2020-04-02,57753.105877511305,57799.720422763574
2020-04-03,56051.94746107227,56097.18894205761
2020-04-06,57853.1900028981,57899.8853295373
2020-04-07,58953.908020601324,59001.49177512793
2020-04-08,62684.98944296977,62735.584683392415
