date_index,date,strategy_equity_usd,buy_hold_equity_usd
0,2025-09-30T00:00:00.000000000,10004.724723638932,10041.142907406553
1,2025-10-01T00:00:00.000000000,10004.65560170981,10013.577317963847
2,2025-10-02T00:00:00.000000000,10004.511263784389,10070.859580249025
3,2025-10-03T00:00:00.000000000,10004.511263784389,10052.49156091407
4,2025-10-06T00:00:00.000000000,10003.304170599959,10033.28142494449
5,2025-10-07T00:00:00.000000000,10010.054187265332,10130.575501596042
6,2025-10-08T00:00:00.000000000,10009.635472675349,10069.979358195502
7,2025-10-09T00:00:00.000000000,10009.635472675349,9999.758136040267
8,2025-10-10T00:00:00.000000000,10009.635472675349,10041.732422828596
9,2025-10-13T00:00:00.000000000,10003.109143602618,10070.637445205577
10,2025-10-14T00:00:00.000000000,10004.36634551294,10060.229207038597
11,2025-10-15T00:00:00.000000000,9998.85317990232,10108.89312057635
12,2025-10-16T00:00:00.000000000,10004.58239990106,10079.970583390119
13,2025-10-17T00:00:00.000000000,10004.58239990106,10225.707455350854
14,2025-10-20T00:00:00.000000000,10005.905496609616,10186.093075551202
15,2025-10-21T00:00:00.000000000,10005.905496609616,10195.456273632444
16,2025-10-22T00:00:00.000000000,10006.003579810393,10202.302317829224
17,2025-10-23T00:00:00.000000000,10006.003579810393,10246.97442145233
18,2025-10-24T00:00:00.000000000,10011.352790742796,10336.189141493118
19,2025-10-27T00:00:00.000000000,10009.995763539742,10392.110591895073
20,2025-10-28T00:00:00.000000000,10012.36153772799,10432.792847080065
21,2025-10-29T00:00:00.000000000,10011.42773174206,10361.621126295226
22,2025-10-30T00:00:00.000000000,10011.098377435872,10356.645803863066
23,2025-10-31T00:00:00.000000000,10011.098377435872,10359.487952685806
24,2025-11-03T00:00:00.000000000,10011.098377435872,10359.100613269236
25,2025-11-04T00:00:00.000000000,10002.620016992245,10399.073789971639
26,2025-11-05T00:00:00.000000000,9999.98450282499,10411.726836669564
27,2025-11-06T00:00:00.000000000,9999.98450282499,10270.861590078022
28,2025-11-07T00:00:00.000000000,9999.98450282499,10450.840272422543
29,2025-11-10T00:00:00.000000000,10005.26996596679,10583.229541077822
30,2025-11-11T00:00:00.000000000,10005.26996596679,10728.811119071355
31,2025-11-12T00:00:00.000000000,10005.26996596679,10703.987317379058
32,2025-11-13T00:00:00.000000000,10047.473520204385,10553.454786013257
33,2025-11-14T00:00:00.000000000,10067.409673353586,10440.968707365284
34,2025-11-17T00:00:00.000000000,10101.692793380797,10215.432447023803
35,2025-11-18T00:00:00.000000000,10096.866237347756,10255.564509634594
36,2025-11-19T00:00:00.000000000,10159.95995403238,10319.649906667813
37,2025-11-20T00:00:00.000000000,10159.95995403238,10211.296936943907
38,2025-11-21T00:00:00.000000000,10159.95995403238,10305.02746546581
39,2025-11-24T00:00:00.000000000,10269.507338313497,10416.139006150457
40,2025-11-25T00:00:00.000000000,10269.507338313497,10557.278675394144
41,2025-11-26T00:00:00.000000000,10269.471684652663,10557.730478698544
42,2025-11-27T00:00:00.000000000,10269.471684652663,10564.052076917958
43,2025-11-28T00:00:00.000000000,10264.017180224795,10575.274011326885
44,2025-12-01T00:00:00.000000000,10264.017180224795,10629.401919499172
45,2025-12-02T00:00:00.000000000,10276.982019727682,10701.810547447685
46,2025-12-03T00:00:00.000000000,10278.28756607629,10805.130086314226
47,2025-12-04T00:00:00.000000000,10276.845135585496,10767.578263441872
48,2025-12-05T00:00:00.000000000,10277.797841549951,10782.85837682069
49,2025-12-08T00:00:00.000000000,10278.22888388458,10797.23744603602
50,2025-12-09T00:00:00.000000000,10279.351395986832,10815.288180066065
51,2025-12-10T00:00:00.000000000,10284.474818867155,10892.75754731615
52,2025-12-11T00:00:00.000000000,10282.263162056726,10874.289693724228
53,2025-12-12T00:00:00.000000000,10304.129064828254,10994.275813353916
54,2025-12-15T00:00:00.000000000,10290.861557030625,10916.908693484089
55,2025-12-16T00:00:00.000000000,10290.932287422798,10927.418575867592
56,2025-12-17T00:00:00.000000000,10290.932287422798,11052.118762887387
57,2025-12-18T00:00:00.000000000,10290.844242906223,11076.090958779903
58,2025-12-19T00:00:00.000000000,10290.844242906223,11068.475758931165
59,2025-12-22T00:00:00.000000000,10294.587066651535,11031.708816390486
