index,date,price,action,buy_prob,sell_prob,regressor_pred,unified_confidence,confidence_tier,confidence_attribution,position_shares,reasoning,confidence,confidence_bucket
0,2022-01-27,8706.0,SELL,,,-0.0011125711379372219,0.36125711379372216,high,regressor_only,-0.34087651339774144,"regressor_pred=-0.00111, conf=0.361",0.36125711379372216,Low
1,2022-01-28,8609.7998046875,BUY,,,0.0003566192947333249,0.28566192947333247,low,regressor_only,0.040322255099736415,"regressor_pred=0.00036, conf=0.286",0.28566192947333247,Very Low
2,2022-01-31,8612.7998046875,BUY,,,0.0018844075357758523,0.4384407535775852,high,regressor_only,0.4367249154081945,"regressor_pred=0.00188, conf=0.438",0.4384407535775852,Low
3,2022-02-01,8726.7001953125,HOLD,,,-3.523865091638785e-05,0.17019053175830545,low,regressor_only,0.0,"regressor_pred=-0.00004, conf=0.170",0.17019053175830545,Very Low
4,2022-02-02,8713.2001953125,BUY,,,0.00021205121253242915,0.35453845458657623,high,regressor_only,0.002812362798810058,"regressor_pred=0.00021, conf=0.355",0.35453845458657623,Low
5,2022-02-03,8689.400390625,BUY,,,0.0003025390074637407,0.3635872340797074,high,regressor_only,0.0262904873664802,"regressor_pred=0.00030, conf=0.364",0.3635872340797074,Low
6,2022-02-04,8589.2998046875,BUY,,,0.00021571309697429573,0.3549046430307629,high,regressor_only,0.0037624818634178206,"regressor_pred=0.00022, conf=0.355",0.3549046430307629,Low
7,2022-02-07,8558.400390625,SELL,,,0.00018446101663414406,0.5184461016634144,high,regressor_only,-0.004346238608573912,"regressor_pred=0.00018, conf=0.518",0.5184461016634144,Medium
8,2022-02-08,8674.599609375,HOLD,,,-0.00015670559386435278,0.015670559386435277,low,regressor_only,0.0,"regressor_pred=-0.00016, conf=0.016",0.015670559386435277,Very Low
9,2022-02-09,8846.400390625,SELL,,,1.1316273945402861e-05,0.33446496072787363,high,regressor_only,-0.049270682177667946,"regressor_pred=0.00001, conf=0.334",0.33446496072787363,Low
10,2022-02-10,8886.2001953125,HOLD,,,-0.00024718292838634917,0.19138495950530157,low,regressor_only,0.0,"regressor_pred=-0.00025, conf=0.191",0.19138495950530157,Very Low
11,2022-02-11,8798.099609375,HOLD,,,0.00012540571645261505,0.17920723831192817,low,regressor_only,0.0,"regressor_pred=0.00013, conf=0.179",0.17920723831192817,Very Low
12,2022-02-14,8573.7998046875,BUY,,,0.00023143130229987696,0.356476463563321,high,regressor_only,0.00784075543494581,"regressor_pred=0.00023, conf=0.356",0.356476463563321,Low
13,2022-02-15,8718.0,BUY,,,0.0008396964792770653,0.4173029812610398,high,regressor_only,0.16566232248812537,"regressor_pred=0.00084, conf=0.417",0.4173029812610398,Low
14,2022-02-16,8737.2001953125,HOLD,,,-0.0018009888081154002,0.18009888081154002,low,regressor_only,0.0,"regressor_pred=-0.00180, conf=0.180",0.18009888081154002,Very Low
15,2022-02-17,8671.099609375,SELL,,,4.7545756744308956e-07,0.33338087909007763,high,regressor_only,-0.052083459718884235,"regressor_pred=0.00000, conf=0.333",0.33338087909007763,Low
16,2022-02-18,8590.0,HOLD,,,-0.00014215581559210244,0.1808822482258769,low,regressor_only,0.0,"regressor_pred=-0.00014, conf=0.181",0.1808822482258769,Very Low
17,2022-02-21,8488.900390625,SELL,,,-0.00020290089303662,0.3536234226369953,high,regressor_only,-0.10485185016562822,"regressor_pred=-0.00020, conf=0.354",0.3536234226369953,Low
18,2022-02-22,8493.2001953125,HOLD,,,2.5498153972465033e-05,0.16921648206391315,low,regressor_only,0.0,"regressor_pred=0.00003, conf=0.169",0.16921648206391315,Very Low
19,2022-02-23,8440.099609375,SELL,,,-0.0002932654386305299,0.3626598771963863,high,regressor_only,-0.1282979962405238,"regressor_pred=-0.00029, conf=0.363",0.3626598771963863,Low
