number,value,datetime_start,datetime_complete,duration,params_batch_size,params_direction_weight,params_dropout,params_learning_rate,params_loss_type,params_lstm_d_model,params_lstm_ff_dim,params_lstm_num_blocks,params_lstm_num_heads,params_lstm_units,params_min_variance_target,params_model_type,params_patchtst_d_model,params_patchtst_n_heads,params_patchtst_n_layers,params_patchtst_patch_len,params_variance_penalty_weight,user_attrs_best_val_loss,user_attrs_correlation,user_attrs_cumulative_return,user_attrs_directional_accuracy,user_attrs_pred_std,user_attrs_sharpe_ratio,state
0,-0.5508186963937438,2025-12-18 09:41:54.779641,2025-12-18 09:42:35.120008,0 days 00:00:40.340367,512,,0.06452090304204987,0.000291063591313307,huber,64.0,128.0,3.0,8.0,64.0,,lstm_transformer,,,,,,0.0017101147677749395,0.005217027751897357,0.07787473499774933,0.48936170212765956,0.05594941973686218,0.045523127674902235,COMPLETE
1,,2025-12-18 09:42:35.338116,2025-12-18 09:42:37.618671,0 days 00:00:02.280555,2048,,0.09991844553958994,3.8396292998041685e-05,anti_collapse,,,,,,0.0099517691011127,patchtst,64.0,4.0,4.0,16.0,0.14881529393791154,,,,,,,PRUNED
2,-0.5362728727042771,2025-12-18 09:42:37.853335,2025-12-18 09:43:14.161968,0 days 00:00:36.308633,512,,0.1866775698358199,3.292759134423613e-05,anti_collapse,64.0,128.0,2.0,4.0,32.0,0.008567533266935892,lstm_transformer,,,,,0.43149500366077176,0.029399890452623367,0.0013721112480104684,-0.19672654569149017,0.4940898345153664,0.23099730908870697,-0.11500272226670488,COMPLETE
3,-0.5952858773656393,2025-12-18 09:43:14.396077,2025-12-18 09:44:38.652116,0 days 00:01:24.256039,2048,1.2774558042891555,0.24306119232416434,1.913588048769229e-05,directional_huber,128.0,128.0,3.0,8.0,128.0,,lstm_transformer,,,,,,0.0878109484910965,0.014981033225860436,0.7043418884277344,0.5065011820330969,0.3256691098213196,0.4118730122981451,COMPLETE
4,-0.5313009790148976,2025-12-18 09:44:38.913901,2025-12-18 09:45:40.383998,0 days 00:01:01.470097,512,1.1232305728721874,0.22831119680574874,0.00018841476921545086,directional_huber,128.0,256.0,2.0,8.0,64.0,,lstm_transformer,,,,,,0.0012923333561047912,0.007868563437568095,-0.2241397351026535,0.48404255319148937,0.03710039332509041,-0.13102898605454932,COMPLETE
5,-0.49973114897221693,2025-12-18 09:45:40.701129,2025-12-18 09:47:12.939865,0 days 00:01:32.238736,2048,2.361652248626839,0.1562585992318275,1.9291291195931594e-05,directional_huber,128.0,128.0,4.0,8.0,128.0,,lstm_transformer,,,,,,0.047636739909648895,0.008184853469164916,-0.8855968713760376,0.50177304964539,0.19458164274692535,-0.5179655623285558,COMPLETE
6,-0.5307846858071523,2025-12-18 09:47:13.391599,2025-12-18 09:48:31.489397,0 days 00:01:18.097798,512,0.5354805757287409,0.2993429848088478,1.4287297691961975e-05,directional_huber,128.0,256.0,3.0,4.0,128.0,,lstm_transformer,,,,,,0.014658884145319462,-0.02434271442506607,-0.26279115676879883,0.49645390070921985,0.1342313289642334,-0.15362603034029007,COMPLETE
7,,2025-12-18 09:48:31.973203,2025-12-18 09:48:34.910460,0 days 00:00:02.937257,2048,1.7148240749513857,0.23303502613037913,1.628767339572783e-05,directional_huber,,,,,,,patchtst,128.0,8.0,2.0,20.0,,,,,,,,PRUNED
8,-0.6419609700275745,2025-12-18 09:48:35.385975,2025-12-18 09:50:11.686528,0 days 00:01:36.300553,1024,,0.29760413109138006,0.0001357603611130944,huber,128.0,128.0,4.0,8.0,128.0,,lstm_transformer,,,,,,0.001642138697206974,0.04379792605217278,1.367077112197876,0.5189125295508275,0.05572231113910675,0.8001616560202618,COMPLETE
9,-0.5504166113372848,2025-12-18 09:50:12.180693,2025-12-18 09:51:32.338865,0 days 00:01:20.158172,1024,,0.27515546137175184,0.00027573988737394076,huber,128.0,128.0,4.0,8.0,32.0,,lstm_transformer,,,,,,0.0025914027355611324,-0.025834113233751583,0.06749683618545532,0.49763593380614657,0.0657123327255249,0.03945649138201345,COMPLETE
