2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | Training log initialized: /home/thunderboltdy/ai-stocks/python-ai-service/training_logs/AAPL_regressor_20260102_221721.log
2026-01-02 22:17:21 | DEBUG    | training.AAPL.regressor | Symbol: AAPL, Model Type: regressor
2026-01-02 22:17:21 | DEBUG    | training.AAPL.regressor | Python version: 3.10.19 (main, Oct 21 2025, 16:43:05) [GCC 11.2.0]
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | Starting regressor training for AAPL
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | Arguments: epochs=50, batch_size=512, sequence_length=90, seed=42
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | [OK] Feature count validated: 154 features
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | Using all 154 features
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | 
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | ============================================================
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | TARGET DISTRIBUTION CHECK
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | ============================================================
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |    Positive: 50.0% (5,674 samples) | mean: +1.96%
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |    Negative: 46.8% (5,309 samples) | mean: -1.95%
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |    Zero:     3.3% (371 samples)
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |    Overall:  mean=+0.070%, std=2.804%
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | 
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |    Percentiles:
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |       10th: -2.825%
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |       25th: -1.250%
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |       50th: +0.000% (median)
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |       75th: +1.410%
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |       90th: +3.018%
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | 
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | [OK] Distribution is balanced
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor | ============================================================
2026-01-02 22:17:21 | INFO     | training.AAPL.regressor |    [OK] Target distribution metadata saved to /home/thunderboltdy/ai-stocks/python-ai-service/saved_models/AAPL/target_distribution.json
2026-01-02 22:17:34 | INFO     | training.AAPL.regressor | 
=== Data Quality Pre-Check ===
2026-01-02 22:17:35 | WARNING  | training.AAPL.regressor | [WARN] 38 features have near-zero variance
2026-01-02 22:17:35 | INFO     | training.AAPL.regressor | Target range: [-1.2000, 1.2000]
2026-01-02 22:17:35 | INFO     | training.AAPL.regressor | Target std: 0.7790 (should be ~1 after scaling)
2026-01-02 22:17:35 | INFO     | training.AAPL.regressor | [OK] Data quality checks passed
2026-01-02 22:17:35 | INFO     | training.AAPL.regressor | [OK] Training with 154 features (93 technical + 20 new + 34 sentiment)
2026-01-02 22:17:35 | INFO     | training.AAPL.regressor |   Input shape: (8454, 90, 154) = (samples=8454, seq_len=90, features=154)
