2025-12-19 16:50:28 | INFO     | training.ASML.classifiers | Training log initialized: /home/thunderboltdy/ai-stocks/python-ai-service/training_logs/ASML_classifiers_20251219_165028.log
2025-12-19 16:50:28 | DEBUG    | training.ASML.classifiers | Symbol: ASML, Model Type: classifiers
2025-12-19 16:50:28 | DEBUG    | training.ASML.classifiers | Python version: 3.10.19 (main, Oct 21 2025, 16:43:05) [GCC 11.2.0]
2025-12-19 16:50:28 | INFO     | training.ASML.classifiers | Starting binary classifiers training for ASML
2025-12-19 16:50:28 | INFO     | training.ASML.classifiers | Arguments: epochs=50, batch_size=32, buy_percentile=60, sell_percentile=40
2025-12-19 16:50:28 | INFO     | training.ASML.classifiers | Training ensemble member 1/1
2025-12-19 16:50:33 | INFO     | training.ASML.classifiers | [OK] Training with 157 features (93 technical + 20 new + 34 sentiment)
2025-12-19 16:50:33 | INFO     | training.ASML.classifiers |   Input shape: (7426, 60, 157) = (samples=7426, seq_len=60, features=157)
2025-12-19 16:58:29 | INFO     | training.ASML.classifiers | [OK] Training with 157 features (93 technical + 20 new + 34 sentiment)
2025-12-19 16:58:29 | INFO     | training.ASML.classifiers |   Input shape: (7340, 60, 157) = (samples=7340, seq_len=60, features=157)
2025-12-19 17:05:33 | INFO     | training.ASML.classifiers | Binary classifiers training complete!
