2025-12-19 15:30:52 | INFO     | training.IWM.classifiers | Training log initialized: /home/thunderboltdy/ai-stocks/python-ai-service/training_logs/IWM_classifiers_20251219_153052.log
2025-12-19 15:30:52 | DEBUG    | training.IWM.classifiers | Symbol: IWM, Model Type: classifiers
2025-12-19 15:30:52 | DEBUG    | training.IWM.classifiers | Python version: 3.10.19 (main, Oct 21 2025, 16:43:05) [GCC 11.2.0]
2025-12-19 15:30:52 | INFO     | training.IWM.classifiers | Starting binary classifiers training for IWM
2025-12-19 15:30:52 | INFO     | training.IWM.classifiers | Arguments: epochs=50, batch_size=32, buy_percentile=60, sell_percentile=40
2025-12-19 15:30:52 | INFO     | training.IWM.classifiers | Training ensemble member 1/1
2025-12-19 15:30:56 | INFO     | training.IWM.classifiers | [OK] Training with 157 features (93 technical + 20 new + 34 sentiment)
2025-12-19 15:30:56 | INFO     | training.IWM.classifiers |   Input shape: (6110, 60, 157) = (samples=6110, seq_len=60, features=157)
2025-12-19 15:37:24 | INFO     | training.IWM.classifiers | [OK] Training with 157 features (93 technical + 20 new + 34 sentiment)
2025-12-19 15:37:24 | INFO     | training.IWM.classifiers |   Input shape: (6196, 60, 157) = (samples=6196, seq_len=60, features=157)
2025-12-19 15:44:29 | INFO     | training.IWM.classifiers | Binary classifiers training complete!
