2025-12-16 23:01:11 | INFO     | training.SPY.regressor | Training log initialized: /home/thunderboltdy/ai-stocks/python-ai-service/training_logs/SPY_regressor_20251216_230111.log
2025-12-16 23:01:11 | DEBUG    | training.SPY.regressor | Symbol: SPY, Model Type: regressor
2025-12-16 23:01:11 | DEBUG    | training.SPY.regressor | Python version: 3.10.19 (main, Oct 21 2025, 16:43:05) [GCC 11.2.0]
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | Starting regressor training for SPY
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | Arguments: epochs=30, batch_size=512, sequence_length=90, seed=42
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | [OK] Feature count validated: 147 features
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | Using all 147 features
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | 
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | ============================================================
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | TARGET DISTRIBUTION CHECK
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | ============================================================
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |    Positive: 54.1% (4,477 samples) | mean: +0.76%
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |    Negative: 45.2% (3,737 samples) | mean: -0.82%
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |    Zero:     0.7% (62 samples)
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |    Overall:  mean=+0.040%, std=1.175%
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | 
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |    Percentiles:
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |       10th: -1.195%
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |       25th: -0.434%
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |       50th: +0.068% (median)
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |       75th: +0.592%
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |       90th: +1.219%
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | 
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | [OK] Distribution is balanced
2025-12-16 23:01:11 | INFO     | training.SPY.regressor | ============================================================
2025-12-16 23:01:11 | INFO     | training.SPY.regressor |    [OK] Target distribution metadata saved to /home/thunderboltdy/ai-stocks/python-ai-service/saved_models/SPY/target_distribution.json
2025-12-16 23:01:17 | INFO     | training.SPY.regressor | 
=== Data Quality Pre-Check ===
2025-12-16 23:01:17 | WARNING  | training.SPY.regressor | [WARN] 36 features have near-zero variance
2025-12-16 23:01:17 | INFO     | training.SPY.regressor | Target range: [-1.2000, 1.2000]
2025-12-16 23:01:17 | INFO     | training.SPY.regressor | Target std: 0.7329 (should be ~1 after scaling)
2025-12-16 23:01:17 | INFO     | training.SPY.regressor | [OK] Data quality checks passed
2025-12-16 23:01:17 | INFO     | training.SPY.regressor | [OK] Training with 147 features (93 technical + 20 new + 34 sentiment)
2025-12-16 23:01:17 | INFO     | training.SPY.regressor |   Input shape: (6549, 90, 147) = (samples=6549, seq_len=90, features=147)
